,pkg_name,time,counts,year
0,openff-toolkit,2021-01,1064,2021
1,openff-toolkit,2021-02,2624,2021
2,openff-toolkit,2021-03,3385,2021
3,openff-toolkit,2021-04,4287,2021
4,openff-toolkit,2021-05,5413,2021
5,openff-toolkit,2021-06,5480,2021
6,openff-toolkit,2021-07,5136,2021
7,openff-toolkit,2021-08,6900,2021
8,openff-toolkit,2021-09,6378,2021
9,openff-toolkit,2021-10,6037,2021
10,openff-toolkit,2021-11,8636,2021
11,openff-toolkit,2021-12,6607,2021
12,openff-toolkit,2022-01,6430,2022
13,openff-toolkit,2022-02,6426,2022
14,openff-toolkit,2022-03,10566,2022
15,openff-toolkit,2022-04,9984,2022
16,openff-toolkit,2022-05,8297,2022
17,openff-toolkit,2022-06,8932,2022
18,openff-toolkit,2022-07,9480,2022
19,openff-toolkit,2022-08,10885,2022
20,openff-toolkit,2022-09,10430,2022
21,openff-toolkit,2022-10,10725,2022
22,openff-toolkit,2022-11,11319,2022
23,openff-toolkit,2022-12,7056,2022
24,openff-toolkit,2023-01,4351,2023
25,openff-toolkit,2023-02,5761,2023
26,openff-toolkit,2023-03,4847,2023
27,openff-toolkit,2023-04,1782,2023
28,openff-toolkit,2023-05,1512,2023
29,openff-toolkit,2023-06,1563,2023
0,openff-evaluator,2021-03,279,2021
1,openff-evaluator,2021-04,321,2021
2,openff-evaluator,2021-05,231,2021
3,openff-evaluator,2021-06,694,2021
4,openff-evaluator,2021-07,958,2021
5,openff-evaluator,2021-08,1100,2021
6,openff-evaluator,2021-09,544,2021
7,openff-evaluator,2021-10,933,2021
8,openff-evaluator,2021-11,1226,2021
9,openff-evaluator,2021-12,1163,2021
10,openff-evaluator,2022-01,881,2022
11,openff-evaluator,2022-02,790,2022
12,openff-evaluator,2022-03,640,2022
13,openff-evaluator,2022-04,1089,2022
14,openff-evaluator,2022-05,1069,2022
15,openff-evaluator,2022-06,1064,2022
16,openff-evaluator,2022-07,1688,2022
17,openff-evaluator,2022-08,1615,2022
18,openff-evaluator,2022-09,1740,2022
19,openff-evaluator,2022-10,1207,2022
20,openff-evaluator,2022-11,1186,2022
21,openff-evaluator,2022-12,249,2022
22,openff-evaluator,2023-01,219,2023
23,openff-evaluator,2023-02,319,2023
24,openff-evaluator,2023-03,536,2023
25,openff-evaluator,2023-04,1179,2023
26,openff-evaluator,2023-05,165,2023
27,openff-evaluator,2023-06,206,2023
0,openff-interchange,2021-06,44,2021
1,openff-interchange,2021-07,263,2021
2,openff-interchange,2021-08,1196,2021
3,openff-interchange,2021-09,2413,2021
4,openff-interchange,2021-10,1554,2021
5,openff-interchange,2021-11,2456,2021
6,openff-interchange,2021-12,1809,2021
7,openff-interchange,2022-01,2047,2022
8,openff-interchange,2022-02,1286,2022
9,openff-interchange,2022-03,918,2022
10,openff-interchange,2022-04,1643,2022
11,openff-interchange,2022-05,1238,2022
12,openff-interchange,2022-06,1015,2022
13,openff-interchange,2022-07,1714,2022
14,openff-interchange,2022-08,2478,2022
15,openff-interchange,2022-09,6051,2022
16,openff-interchange,2022-10,6347,2022
17,openff-interchange,2022-11,5049,2022
18,openff-interchange,2022-12,956,2022
19,openff-interchange,2023-01,845,2023
20,openff-interchange,2023-02,862,2023
21,openff-interchange,2023-03,667,2023
22,openff-interchange,2023-04,385,2023
23,openff-interchange,2023-05,194,2023
24,openff-interchange,2023-06,195,2023
0,openff-bespokefit,2022-02,39,2022
1,openff-bespokefit,2022-03,100,2022
2,openff-bespokefit,2022-04,79,2022
3,openff-bespokefit,2022-05,238,2022
4,openff-bespokefit,2022-06,201,2022
5,openff-bespokefit,2022-07,457,2022
6,openff-bespokefit,2022-08,66,2022
7,openff-bespokefit,2022-09,298,2022
8,openff-bespokefit,2022-10,66,2022
9,openff-bespokefit,2022-11,122,2022
10,openff-bespokefit,2022-12,52,2022
11,openff-bespokefit,2023-01,68,2023
12,openff-bespokefit,2023-02,43,2023
13,openff-bespokefit,2023-03,49,2023
14,openff-bespokefit,2023-04,111,2023
15,openff-bespokefit,2023-05,37,2023
16,openff-bespokefit,2023-06,69,2023
0,openff-recharge,2021-02,194,2021
1,openff-recharge,2021-03,324,2021
2,openff-recharge,2021-04,209,2021
3,openff-recharge,2021-05,181,2021
4,openff-recharge,2021-06,546,2021
5,openff-recharge,2021-07,885,2021
6,openff-recharge,2021-08,940,2021
7,openff-recharge,2021-09,403,2021
8,openff-recharge,2021-10,535,2021
9,openff-recharge,2021-11,810,2021
10,openff-recharge,2021-12,881,2021
11,openff-recharge,2022-01,745,2022
12,openff-recharge,2022-02,644,2022
13,openff-recharge,2022-03,619,2022
14,openff-recharge,2022-04,715,2022
15,openff-recharge,2022-05,750,2022
16,openff-recharge,2022-06,968,2022
17,openff-recharge,2022-07,2289,2022
18,openff-recharge,2022-08,386,2022
19,openff-recharge,2022-09,1557,2022
20,openff-recharge,2022-10,382,2022
21,openff-recharge,2022-11,458,2022
22,openff-recharge,2022-12,283,2022
23,openff-recharge,2023-01,232,2023
24,openff-recharge,2023-02,177,2023
25,openff-recharge,2023-03,266,2023
26,openff-recharge,2023-04,453,2023
27,openff-recharge,2023-05,127,2023
28,openff-recharge,2023-06,198,2023
0,openff-qcsubmit,2021-06,65,2021
1,openff-qcsubmit,2021-07,228,2021
2,openff-qcsubmit,2021-08,181,2021
3,openff-qcsubmit,2021-09,516,2021
4,openff-qcsubmit,2021-10,365,2021
5,openff-qcsubmit,2021-11,580,2021
6,openff-qcsubmit,2021-12,378,2021
7,openff-qcsubmit,2022-01,357,2022
8,openff-qcsubmit,2022-02,474,2022
9,openff-qcsubmit,2022-03,644,2022
10,openff-qcsubmit,2022-04,528,2022
11,openff-qcsubmit,2022-05,862,2022
12,openff-qcsubmit,2022-06,704,2022
13,openff-qcsubmit,2022-07,956,2022
14,openff-qcsubmit,2022-08,600,2022
15,openff-qcsubmit,2022-09,894,2022
16,openff-qcsubmit,2022-10,600,2022
17,openff-qcsubmit,2022-11,782,2022
18,openff-qcsubmit,2022-12,644,2022
19,openff-qcsubmit,2023-01,344,2023
20,openff-qcsubmit,2023-02,138,2023
21,openff-qcsubmit,2023-03,145,2023
22,openff-qcsubmit,2023-04,200,2023
23,openff-qcsubmit,2023-05,65,2023
24,openff-qcsubmit,2023-06,121,2023
0,openff-fragmenter,2021-06,51,2021
1,openff-fragmenter,2021-07,287,2021
2,openff-fragmenter,2021-08,505,2021
3,openff-fragmenter,2021-09,449,2021
4,openff-fragmenter,2021-10,351,2021
5,openff-fragmenter,2021-11,275,2021
6,openff-fragmenter,2021-12,116,2021
7,openff-fragmenter,2022-01,76,2022
8,openff-fragmenter,2022-02,59,2022
9,openff-fragmenter,2022-03,68,2022
10,openff-fragmenter,2022-04,65,2022
11,openff-fragmenter,2022-05,175,2022
12,openff-fragmenter,2022-06,100,2022
13,openff-fragmenter,2022-07,100,2022
14,openff-fragmenter,2022-08,99,2022
15,openff-fragmenter,2022-09,481,2022
16,openff-fragmenter,2022-10,257,2022
17,openff-fragmenter,2022-11,263,2022
18,openff-fragmenter,2022-12,214,2022
19,openff-fragmenter,2023-01,204,2023
20,openff-fragmenter,2023-02,153,2023
21,openff-fragmenter,2023-03,282,2023
22,openff-fragmenter,2023-04,414,2023
23,openff-fragmenter,2023-05,350,2023
24,openff-fragmenter,2023-06,374,2023
0,openff-utilities,2021-05,594,2021
1,openff-utilities,2021-06,1343,2021
2,openff-utilities,2021-07,1355,2021
3,openff-utilities,2021-08,2637,2021
4,openff-utilities,2021-09,3409,2021
5,openff-utilities,2021-10,2467,2021
6,openff-utilities,2021-11,3993,2021
7,openff-utilities,2021-12,3324,2021
8,openff-utilities,2022-01,3440,2022
9,openff-utilities,2022-02,3109,2022
10,openff-utilities,2022-03,5036,2022
11,openff-utilities,2022-04,6140,2022
12,openff-utilities,2022-05,5068,2022
13,openff-utilities,2022-06,5355,2022
14,openff-utilities,2022-07,5119,2022
15,openff-utilities,2022-08,8256,2022
16,openff-utilities,2022-09,8628,2022
17,openff-utilities,2022-10,9468,2022
18,openff-utilities,2022-11,10842,2022
19,openff-utilities,2022-12,10623,2022
20,openff-utilities,2023-01,7097,2023
21,openff-utilities,2023-02,197,2023
22,openff-utilities,2023-03,165,2023
23,openff-utilities,2023-04,244,2023
24,openff-utilities,2023-05,128,2023
25,openff-utilities,2023-06,115,2023
0,openff-units,2021-05,127,2021
1,openff-units,2021-06,1364,2021
2,openff-units,2021-07,1270,2021
3,openff-units,2021-08,2332,2021
4,openff-units,2021-09,3101,2021
5,openff-units,2021-10,2287,2021
6,openff-units,2021-11,3613,2021
7,openff-units,2021-12,2925,2021
8,openff-units,2022-01,3195,2022
9,openff-units,2022-02,2805,2022
10,openff-units,2022-03,4525,2022
11,openff-units,2022-04,5880,2022
12,openff-units,2022-05,4556,2022
13,openff-units,2022-06,4933,2022
14,openff-units,2022-07,4784,2022
15,openff-units,2022-08,7991,2022
16,openff-units,2022-09,8420,2022
17,openff-units,2022-10,9164,2022
18,openff-units,2022-11,10849,2022
19,openff-units,2022-12,10638,2022
20,openff-units,2023-01,11394,2023
21,openff-units,2023-02,14366,2023
22,openff-units,2023-03,18831,2023
23,openff-units,2023-04,20130,2023
24,openff-units,2023-05,3052,2023
25,openff-units,2023-06,372,2023
0,openff-models,2022-11,187,2022
1,openff-models,2022-12,634,2022
2,openff-models,2023-01,33,2023
3,openff-models,2023-02,26,2023
4,openff-models,2023-03,36,2023
5,openff-models,2023-04,75,2023
6,openff-models,2023-05,27,2023
7,openff-models,2023-06,28,2023
